Temperature_C,Humidity_percent,Rain,LDR_percent,Moisture_percent,Label
32.6,87.2,43,19,81,Low
33.4,43.1,38,12,37,Medium
19.5,86.0,68,68,52,Medium
25.2,62.1,22,65,89,High
20.3,49.2,95,59,74,Medium
35.3,60.3,79,31,22,Low
30.5,88.9,9,45,25,Low
24.6,62.1,42,64,52,High
19.3,53.1,88,55,84,Medium
24.2,69.8,94,99,58,Medium
24.5,48.2,47,22,55,Medium
32.6,39.2,61,73,27,Low
30.8,42.1,17,46,66,Medium
35.7,42.0,99,49,78,Low
27.4,43.4,23,75,47,High
20.4,42.6,94,72,74,Medium
32.3,70.2,65,99,88,Low
33.2,45.0,61,22,34,Low
29.2,54.0,51,19,57,Medium
33.4,84.3,23,75,40,Medium
27.9,61.1,18,62,75,High
28.5,71.7,22,35,60,High
26.6,44.5,19,17,64,Medium
18.5,45.6,78,18,76,Low
20.2,37.2,35,90,48,Medium
18.6,44.3,6,27,84,Low
30.7,50.3,97,39,57,Medium
24.3,44.7,88,30,31,Medium
28.2,39.9,93,42,69,Medium
36.2,41.6,99,16,76,Low
23.0,60.3,17,57,42,High
26.2,46.3,40,16,80,Medium
33.1,55.0,76,82,83,Low
22.6,62.7,70,31,39,Medium
19.5,73.0,15,59,89,Medium
23.8,37.2,82,89,30,Low
21.2,79.0,22,69,34,Medium
36.6,69.5,22,58,33,Medium
34.2,39.5,54,39,83,Low
30.7,83.0,59,40,66,Medium
35.4,85.6,58,70,31,Low
34.1,38.4,9,99,51,Low
21.7,50.2,88,70,63,Medium
35.9,79.3,27,60,26,Medium
28.8,76.2,13,76,82,Medium
34.1,45.1,89,52,76,Low
35.9,46.5,96,15,55,Low
24.4,55.4,86,61,88,Medium
20.2,61.6,81,96,49,Medium
22.6,69.0,66,26,89,Medium
26.5,55.3,55,72,67,High
34.4,60.4,9,28,64,Medium
35.2,76.1,41,58,32,Medium
18.1,37.0,37,19,82,Low
28.2,48.9,26,51,50,High
26.3,74.2,72,78,31,Medium
22.4,84.2,50,41,21,Medium
20.4,63.1,8,70,59,High
24.8,64.3,22,82,57,High
36.9,40.9,68,93,70,Low
24.5,59.6,8,31,82,Medium
28.4,64.3,85,46,26,Medium
32.1,48.3,50,24,71,Medium
25.3,49.8,48,99,33,Medium
37.4,55.8,59,93,80,Low
37.2,36.1,82,59,77,Low
23.0,52.7,35,86,58,High
27.9,46.6,68,57,70,High
24.0,53.0,57,66,42,High
23.7,41.6,27,18,53,Medium
18.7,84.0,88,78,78,Low
30.2,67.6,80,21,52,Medium
28.1,72.4,66,84,45,Medium
19.0,78.4,85,80,55,Medium
23.6,62.4,87,74,78,Medium
36.2,39.8,71,13,43,Low
22.8,64.5,84,37,32,Medium
20.9,67.3,70,34,70,Medium
27.8,76.0,68,42,78,Medium
37.7,58.7,62,18,27,Low
22.8,42.0,75,94,37,Low
31.4,50.6,16,60,30,High
33.2,55.0,88,37,44,Medium
22.8,70.5,87,46,52,Medium
32.6,66.4,3,50,72,Medium
25.4,54.6,83,64,66,High
30.6,89.3,13,56,63,Medium
30.7,68.3,34,93,45,Medium
28.7,48.0,74,55,79,Medium
19.8,40.6,16,99,53,Medium
34.7,43.4,82,87,89,Low
24.4,48.5,83,29,64,Medium
21.7,43.8,51,94,29,Low
18.8,45.3,1,20,67,Medium
29.8,50.7,29,84,43,High
31.6,44.5,62,44,68,Medium
18.3,84.3,98,89,25,Low
28.2,39.4,63,88,32,Medium
22.5,63.8,26,83,80,High
30.9,57.6,63,81,36,Medium
21.5,89.0,54,37,79,Low
31.8,41.2,78,17,40,Low
25.7,56.9,11,46,65,High
36.7,88.3,76,26,69,Low
20.8,82.6,54,73,56,Medium
24.8,79.9,96,41,41,Medium
20.3,49.2,34,98,35,Medium
36.5,44.4,63,68,22,Low
35.5,71.8,93,84,41,Low
23.2,86.1,10,22,66,Medium
31.2,65.6,94,88,86,Low
34.3,66.4,69,93,81,Low
29.1,50.4,7,54,74,High
28.6,77.3,30,65,75,High
22.8,45.3,71,79,67,Medium
19.9,52.8,7,26,38,Medium
35.9,58.4,58,55,84,Medium
36.0,62.9,35,46,67,Medium
30.7,48.3,62,23,59,Medium
24.8,41.3,5,43,28,Medium
25.0,68.6,87,16,51,Medium
32.5,50.9,97,12,52,Medium
35.9,67.0,97,22,81,Low
35.7,43.5,75,97,58,Low
33.6,61.5,13,59,47,High
30.8,64.3,76,97,88,Low
19.7,37.9,2,49,28,Low
21.2,53.5,2,38,50,Medium
36.0,42.4,32,56,23,Medium
30.1,38.5,49,50,72,Medium
18.2,89.4,77,20,84,Low
20.0,52.7,68,68,40,Medium
31.3,79.5,45,29,80,Medium
18.1,49.0,27,66,40,Medium
21.2,72.5,100,69,84,Low
29.0,76.8,43,24,73,Medium
31.8,67.8,45,16,76,Medium
31.0,60.9,16,80,21,Medium
22.5,57.7,79,51,87,Medium
32.2,54.2,69,15,71,Medium
22.7,86.1,22,100,41,Medium
24.5,80.7,8,15,78,Low
32.9,88.1,68,73,40,Medium
31.0,41.8,65,99,81,Low
35.0,75.2,27,32,28,Low
31.2,86.6,95,23,69,Low
29.4,45.0,15,21,58,Medium
19.9,38.7,43,37,27,Low
25.4,75.8,94,19,37,Low
23.3,66.6,42,72,21,High
22.9,81.3,64,16,53,Medium
37.5,42.7,40,56,41,Medium
25.9,78.7,27,100,62,Medium
35.8,46.1,98,83,41,Low
30.6,44.0,41,65,41,Medium
33.9,44.0,89,38,72,Low
28.1,79.8,23,66,23,Medium
29.5,71.6,21,57,83,Medium
27.9,63.8,3,48,80,Medium
21.9,54.7,65,22,67,Medium
32.4,83.2,37,90,62,Medium
23.6,56.6,86,50,82,Medium
18.5,79.9,47,28,33,Medium
30.9,59.2,97,43,26,Low
21.5,55.7,19,47,37,Medium
36.8,60.4,87,84,76,Low
37.1,51.6,78,76,22,Low
36.3,76.1,77,79,61,Medium
25.4,62.6,84,11,90,Low
18.3,47.8,76,47,80,Low
36.6,84.5,63,53,57,Medium
26.6,56.1,13,12,24,Medium
37.3,64.9,3,33,78,Medium
37.3,84.9,92,78,62,Low
35.1,69.3,62,22,28,Low
23.9,41.4,80,58,27,Medium
25.7,86.7,48,29,84,Low
35.0,69.5,12,11,67,Medium
24.3,53.4,13,32,78,High
21.4,42.7,69,98,82,Low
29.1,78.7,43,82,60,High
36.7,69.1,20,96,56,Medium
31.9,64.3,49,54,50,High
29.4,84.2,6,20,42,Low
19.9,78.4,58,59,50,Medium
30.3,43.3,27,51,74,Medium
37.8,52.1,80,86,62,Medium
20.8,48.7,31,19,82,Low
28.4,75.9,46,54,51,High
35.5,36.8,1,24,62,Low
32.8,66.3,7,39,64,Medium
31.9,76.9,39,76,61,High
32.0,83.2,48,53,69,Medium
25.2,53.8,60,44,37,Medium
23.9,80.2,29,46,56,Medium
34.2,41.1,69,51,27,Low
34.2,81.6,86,81,47,Low
35.3,42.0,78,90,54,Low
36.3,56.9,4,96,66,Medium
28.2,78.9,48,81,87,Medium
28.0,43.2,10,38,62,High
34.0,47.6,24,72,72,Medium
31.0,74.7,99,49,55,Medium
32.0,74.6,14,33,64,Medium
33.9,70.3,50,86,25,Medium
35.8,73.2,62,13,38,Low
24.8,64.8,70,91,45,Medium
25.5,48.8,56,52,53,High
19.9,54.0,1,67,23,Medium
29.6,45.0,33,69,30,High
18.7,85.0,52,91,39,Low
27.3,67.1,9,67,88,Medium
28.9,57.0,35,65,43,High
23.7,60.4,3,16,54,Medium
29.8,87.1,8,57,34,Medium
18.6,43.4,40,24,63,Medium
18.7,67.2,13,76,40,High
34.5,62.8,57,56,34,Medium
25.2,68.6,69,71,56,High
20.5,36.0,80,14,20,Low
28.4,83.0,20,18,21,Low
33.4,86.3,17,74,35,Medium
22.3,66.1,10,16,23,Medium
30.5,73.3,64,16,28,Low
19.7,85.7,71,11,44,Low
19.0,73.9,3,96,76,Low
28.6,43.4,94,76,60,Medium
28.8,66.7,5,42,56,High
30.7,68.4,54,37,41,Medium
32.5,58.3,71,41,85,Low
37.5,75.5,87,80,48,Medium
28.3,86.4,71,70,26,Low
24.5,85.9,80,27,63,Low
33.9,59.8,34,26,28,Medium
23.4,41.2,81,19,44,Low
26.8,89.2,8,69,56,Medium
19.6,81.1,89,79,81,Low
18.5,41.9,55,34,55,Medium
37.3,85.6,82,12,69,Low
34.7,82.8,45,17,89,Low
31.9,63.5,64,97,29,Low
26.2,67.5,53,37,39,Medium
21.5,56.9,73,79,48,Medium
21.1,38.0,8,66,50,Medium
23.0,53.4,6,44,49,High
29.0,79.2,25,29,84,Medium
32.3,35.3,16,21,70,Medium
31.2,53.3,87,65,63,Medium
23.6,56.9,22,80,42,High
37.1,64.6,98,68,78,Medium
32.8,85.6,34,58,87,Medium
29.1,54.0,18,14,77,Medium
30.2,54.1,79,97,20,Low
26.4,75.6,66,82,65,Medium
23.0,59.9,50,36,24,Medium
25.1,47.4,56,98,38,Medium
33.2,59.9,72,64,24,Medium
18.3,42.7,23,62,62,High
20.3,44.7,100,77,68,Medium
18.9,62.4,97,83,28,Low
18.8,58.0,65,69,47,High
35.1,85.3,20,22,52,Low
32.1,54.9,68,40,46,Medium
27.5,66.9,7,94,28,Medium
20.0,69.8,3,30,49,Medium
27.8,35.7,26,43,73,Medium
27.5,71.5,46,49,25,Medium
21.5,44.8,87,50,26,Low
26.7,87.9,73,65,45,Medium
26.0,43.2,74,95,86,Low
30.3,57.8,43,32,67,High
30.7,39.7,35,21,68,Medium
18.9,89.8,37,28,45,Medium
25.5,62.6,99,90,62,Medium
30.5,67.7,4,68,21,Medium
28.1,38.7,87,36,65,Medium
35.1,76.2,58,83,84,Low
31.2,46.5,44,88,63,Medium
21.3,84.4,73,86,81,Low
19.4,46.3,49,93,71,Medium
30.8,45.5,87,33,28,Low
18.5,37.0,90,78,83,Low
29.7,61.0,42,51,25,High
36.8,66.1,28,86,57,Medium
29.5,38.6,59,76,30,Medium
25.8,77.7,91,80,21,Medium
30.9,59.9,21,69,50,High
27.2,63.8,62,26,41,Medium
28.9,59.2,63,59,54,High
36.8,57.0,73,99,60,Low
25.7,65.8,13,94,23,Medium
37.2,43.5,72,14,29,Low
36.1,45.0,91,25,59,Low
21.9,82.4,18,22,44,Low
19.4,87.0,24,75,71,Medium
20.0,55.5,97,84,66,Medium
18.4,49.9,18,29,79,Medium
19.9,70.4,85,56,68,Medium
31.7,57.5,49,86,50,High
19.4,36.4,25,76,67,Medium
24.4,43.6,87,59,39,Medium
34.9,74.4,45,63,41,Medium
18.5,71.2,51,56,75,Medium
34.3,36.5,36,37,51,Medium
23.6,47.2,59,61,76,Medium
20.4,47.7,16,72,78,Medium
31.9,72.0,39,89,80,Medium
30.6,36.1,97,67,84,Low
35.5,40.7,26,79,50,Medium
32.7,79.0,66,24,42,Low
34.1,44.8,33,52,61,Medium
23.6,70.9,77,11,46,Medium
21.5,48.1,13,32,62,Medium
33.0,40.5,97,75,69,Medium
34.1,48.4,45,99,68,Medium
37.8,74.7,24,19,46,Medium
26.3,82.1,7,46,32,Medium
25.4,80.7,17,82,50,Medium
33.5,56.8,52,28,30,Medium
24.8,71.7,34,60,82,Medium
36.6,46.3,83,76,44,Low
35.2,51.1,43,65,31,Medium
26.6,84.3,25,27,22,Low
33.0,35.7,62,42,65,Medium
33.1,39.7,71,81,65,Low
20.1,46.4,17,60,44,Medium
36.1,36.5,17,10,25,Low
28.1,45.0,4,78,49,High
34.5,67.1,74,13,42,Low
24.4,58.2,66,77,67,High
35.9,84.1,47,28,62,Low
25.8,80.0,84,96,46,Medium
18.2,53.8,81,43,35,Medium
36.1,49.3,59,39,89,Low
19.8,55.9,87,23,52,Medium
24.4,67.5,21,38,68,High
37.0,49.7,11,89,30,Medium
37.0,69.3,27,100,54,Medium
29.5,57.5,6,43,22,Medium
30.6,65.4,53,50,55,High
27.0,59.0,94,75,87,Medium
23.9,51.2,4,90,47,High
24.6,87.2,12,63,23,Medium
31.5,77.0,45,45,22,Medium
33.0,42.7,93,47,47,Medium
33.8,82.8,32,73,31,Medium
33.8,61.8,51,10,22,Low
19.8,84.2,4,66,73,Medium
27.9,79.0,15,42,52,High
19.2,58.4,99,81,40,Medium
29.0,36.2,97,18,83,Low
26.8,49.8,0,63,28,Medium
35.8,64.8,95,53,87,Low
25.0,69.8,64,68,42,High
20.3,49.2,87,16,82,Low
20.9,42.7,45,62,62,High
33.2,80.9,52,61,78,Medium
30.4,89.1,49,60,89,Medium
20.0,63.9,67,64,40,Medium
19.7,44.4,14,71,87,Medium
32.0,50.0,3,82,47,Medium
19.5,36.0,31,34,47,Medium
34.4,85.3,70,84,44,Low
32.1,41.5,20,55,58,High
19.6,66.7,67,17,31,Medium
19.7,50.1,97,15,59,Medium
37.7,65.5,9,40,58,Medium
25.5,70.8,67,81,73,Medium
25.4,80.6,44,74,78,Medium
34.3,46.4,87,81,51,Low
36.9,35.6,18,57,41,Medium
37.7,42.5,69,50,38,Medium
33.1,84.5,84,23,34,Low
25.5,83.1,94,40,24,Low
19.7,67.9,68,49,44,Medium
33.5,68.0,50,18,39,Medium
29.2,71.6,62,30,88,Medium
26.5,44.6,87,64,59,Medium
36.1,85.3,57,76,44,Low
20.2,58.0,3,100,61,Medium
27.9,56.1,93,94,30,Medium
18.2,63.5,69,68,51,High
27.4,37.6,68,48,64,Medium
19.1,44.1,22,67,54,High
20.4,75.6,66,81,48,Medium
20.4,39.6,39,21,90,Low
31.0,68.2,65,47,82,Medium
32.9,48.5,11,86,64,Medium
29.7,56.4,66,45,60,High
37.2,50.9,100,61,63,Medium
25.5,54.6,5,63,34,High
23.7,74.5,98,27,48,Medium
35.4,51.3,41,43,23,Medium
22.5,66.2,87,40,53,Medium
37.3,61.2,78,12,58,Low
18.2,71.5,57,12,36,Low
37.4,86.5,74,85,87,Low
18.9,75.3,88,35,84,Low
35.8,46.8,40,57,71,Medium
28.6,36.7,33,37,57,Medium
37.9,49.4,67,95,81,Low
19.5,67.7,81,33,29,Low
29.1,37.8,76,49,75,Low
37.4,62.3,80,89,29,Low
28.5,67.8,44,86,76,High
30.6,53.4,82,27,39,Low
31.9,77.4,12,82,81,Medium
27.1,40.9,54,51,86,Medium
30.6,39.1,1,53,30,Medium
29.7,75.1,32,22,52,Medium
36.0,62.3,37,17,89,Low
18.9,72.9,40,76,54,High
23.6,58.9,70,55,80,High
37.0,48.6,39,49,61,Medium
35.8,80.1,45,76,46,Medium
27.1,79.0,24,79,40,High
30.4,73.2,37,24,34,Medium
23.5,50.0,23,65,73,High
21.8,67.5,7,22,47,Medium
27.3,54.9,60,78,56,High
25.1,40.0,67,69,54,High
29.7,85.5,62,96,60,Medium
19.6,42.5,46,16,81,Low
37.5,87.3,38,15,89,Low
37.7,59.5,86,35,49,Medium
